filepath,domain,label,is_dg_class,label_idx,split,modality
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001465AA.png,ADIAC_Database,Fragilariforma,False,21,val,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001459AA.png,ADIAC_Database,Fragilariforma,False,21,test,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001458AA.png,ADIAC_Database,Fragilariforma,False,21,train,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001455AA.png,ADIAC_Database,Fragilariforma,False,21,train,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001470AA.png,ADIAC_Database,Fragilariforma,False,21,train,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001461AA.png,ADIAC_Database,Fragilariforma,False,21,train,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001452AA.png,ADIAC_Database,Fragilariforma,False,21,train,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001453AA.png,ADIAC_Database,Fragilariforma,False,21,train,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001466AA.png,ADIAC_Database,Fragilariforma,False,21,train,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001463AA.png,ADIAC_Database,Fragilariforma,False,21,train,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001454AA.png,ADIAC_Database,Fragilariforma,False,21,train,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001468AA.png,ADIAC_Database,Fragilariforma,False,21,train,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001460AA.png,ADIAC_Database,Fragilariforma,False,21,train,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001469AA.png,ADIAC_Database,Fragilariforma,False,21,train,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001462AA.png,ADIAC_Database,Fragilariforma,False,21,train,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001456AA.png,ADIAC_Database,Fragilariforma,False,21,val,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001467AA.png,ADIAC_Database,Fragilariforma,False,21,train,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001471AA.png,ADIAC_Database,Fragilariforma,False,21,test,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001457AA.png,ADIAC_Database,Fragilariforma,False,21,train,BF
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001464AA.png,ADIAC_Database,Fragilariforma,False,21,train,BF
Processed_Data_PNG/ADIAC_Database/Cyclotella/001191BA.png,ADIAC_Database,Cyclotella,True,10,train,BF
Processed_Data_PNG/ADIAC_Database/Cyclotella/000541CA.png,ADIAC_Database,Cyclotella,True,10,train,BF
Processed_Data_PNG/ADIAC_Database/Cyclotella/000541BA.png,ADIAC_Database,Cyclotella,True,10,train,BF
