filepath,md5,file_size_bytes
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001465AA.png,653a3e306a5af7f3a00ecd0a9598d9a8,143117
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001459AA.png,d39663a5b37dc702b318dc4932602874,128311
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001458AA.png,73c76a513ef9ced59020ef8e9e35a5df,114145
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001455AA.png,2be1429639393d6c4212a7616dedaccb,146533
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001470AA.png,b2e6e3e92b8f5c9df222bd0cfe5c8a8d,120489
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001461AA.png,7b8167e6418e5978707447a058b22f30,113973
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001452AA.png,2e3cd56229c26a3f558d415497693d8b,151355
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001453AA.png,aa40a2dcaf23213d3fab2a49014be8ec,115759
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001466AA.png,74f3486247ed6062ffffd4332d3aeff2,153509
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001463AA.png,db835a2e79f713b530218db065cb367d,233711
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001454AA.png,96b19be03b06c41bbf57690fbc05917a,175244
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001468AA.png,3e2b34189db30dd5a352890161ff7926,154952
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001460AA.png,34b9fe6282fc77f8b5edc9213cb1768a,151407
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001469AA.png,6ea89464d1b07f0d7b2f72c7dccc624f,207649
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001462AA.png,ce1b40ecfeca6a88c6486485336f2053,125134
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001456AA.png,d2db95713e95ed7d1a2e46d44175c8f9,129694
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001467AA.png,8045fbaf68ec69b2c36c8b518cb62059,196501
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001471AA.png,5659243d48447807499483b6574669c4,128149
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001457AA.png,e38ffebfa943c876114eb57427437b0c,149614
Processed_Data_PNG/ADIAC_Database/Fragilariforma/001464AA.png,4f582b8caab402da0356564188f4a97a,127901
Processed_Data_PNG/ADIAC_Database/Cyclotella/001191BA.png,4f31dc99f99720a7109379e9cbd0060e,58478
Processed_Data_PNG/ADIAC_Database/Cyclotella/000541CA.png,0251a5cbda4f3d9013accbec5f1f2970,120251
Processed_Data_PNG/ADIAC_Database/Cyclotella/000541BA.png,3475de8257d70154ca8f7a0f291143c9,124011
Processed_Data_PNG/ADIAC_Database/Cyclotella/000543BA.png,8921cadce823768a3783217057c99408,148675
Processed_Data_PNG/ADIAC_Database/Cyclotella/001190AA.png,e539f67a49c6ad44986ff5af6f977842,60053
Processed_Data_PNG/ADIAC_Database/Cyclotella/000827BB.png,3fac2434fa00c02e7712905adb942d3e,210645
Processed_Data_PNG/ADIAC_Database/Cyclotella/000827CA.png,0a31b6c855b92ecc6231c4ff0cf6c4b4,204110
Processed_Data_PNG/ADIAC_Database/Cyclotella/000305.png,6a2da31729b46fc65ed9ec12a1024f4d,154440
Processed_Data_PNG/ADIAC_Database/Cyclotella/000827AA.png,3e939d52aa6878971716342b260e6afb,209636
Processed_Data_PNG/ADIAC_Database/Cyclotella/001197AA.png,f98ea07694d60fc37f14bdc2a9ae5a5d,46818
Processed_Data_PNG/ADIAC_Database/Cyclotella/001189BA.png,52c57cecd56882ba01f69ab5bf2f3900,62001
Processed_Data_PNG/ADIAC_Database/Cyclotella/000827BA.png,99797ededa1bbbee0db504304e08dd9d,208263
Processed_Data_PNG/ADIAC_Database/Cyclotella/000875BB.png,9a7ec060058aea56f79b69995da356fa,75941
Processed_Data_PNG/ADIAC_Database/Cyclotella/001191AA.png,afc554d846653c5abad7a41fec9dae69,58079
Processed_Data_PNG/ADIAC_Database/Cyclotella/000494CA.png,9cdcc9ad417baaee8003ff26dca502e7,252055
Processed_Data_PNG/ADIAC_Database/Cyclotella/000483AA.png,197ab5df32544b4af235fa8be3399d62,140586
