domain,label,name,phash
ADIAC_Database,Fragilariforma,001465AA.png,12089845993787585228
ADIAC_Database,Fragilariforma,001459AA.png,11465840261180388552
ADIAC_Database,Fragilariforma,001458AA.png,13940474206001443788
ADIAC_Database,Fragilariforma,001455AA.png,16638201826198565257
ADIAC_Database,Fragilariforma,001470AA.png,11990524824345191270
ADIAC_Database,Fragilariforma,001461AA.png,13661912119194941188
ADIAC_Database,Fragilariforma,001452AA.png,12918773015248661132
ADIAC_Database,Fragilariforma,001453AA.png,12794217851559945179
ADIAC_Database,Fragilariforma,001466AA.png,11294495960225687018
ADIAC_Database,Fragilariforma,001463AA.png,13090649810775943765
ADIAC_Database,Fragilariforma,001454AA.png,10864605704943284616
ADIAC_Database,Fragilariforma,001468AA.png,13090505641055135194
ADIAC_Database,Fragilariforma,001460AA.png,12018123663563176339
ADIAC_Database,Fragilariforma,001469AA.png,12710174640150687939
ADIAC_Database,Fragilariforma,001462AA.png,13084590436001342344
ADIAC_Database,Fragilariforma,001456AA.png,12553080937372054322
ADIAC_Database,Fragilariforma,001467AA.png,10023843218424884426
ADIAC_Database,Fragilariforma,001471AA.png,16928907957832659762
ADIAC_Database,Fragilariforma,001457AA.png,10054713290719815055
ADIAC_Database,Fragilariforma,001464AA.png,16832030490896588950
ADIAC_Database,Cyclotella,001191BA.png,11703888278709459829
ADIAC_Database,Cyclotella,000541CA.png,11826038105809041375
ADIAC_Database,Cyclotella,000541BA.png,12686577622172181469
ADIAC_Database,Cyclotella,000543BA.png,13621025829711341112
ADIAC_Database,Cyclotella,001190AA.png,11702268854010545752
ADIAC_Database,Cyclotella,000827BB.png,13565260181411628502
ADIAC_Database,Cyclotella,000827CA.png,13565189812415874454
ADIAC_Database,Cyclotella,000305.png,12496806128578488489
ADIAC_Database,Cyclotella,000827AA.png,13718312199998047574
ADIAC_Database,Cyclotella,001197AA.png,13214361864488734045
ADIAC_Database,Cyclotella,001189BA.png,12273868395063781806
